state,California,New York,Florida,Texas,New Jersey,Massachusetts,Virginia,Illinois,Maryland,Washington,Georgia,Pennsylvania,Tennessee,Louisiana,Arizona,Ohio,Nebraska,Colorado,North Carolina,Minnesota,Nevada,Missouri,Connecticut,Oregon,Michigan,Utah,Hawaii,New Mexico
2001,33915,37176,30405,29601,40189,39711,33940,34206,37012,32986,29693,31563,27496,25630,26946,29261,30184,34812,27782,33417,32418,28634,45032,28774,30694,24867,30178,24545
2002,34047,36972,30815,29481,40454,39419,34495,34520,37995,33222,30086,32084,28102,26281,27325,29669,30553,34405,27856,33889,32180,29144,44656,28759,30595,25167,31353,25237
2003,35191,37420,31779,30176,41167,40158,36151,35081,39295,34267,30805,33066,29059,26987,28384,30471,32268,34757,28709,35195,33136,30054,44898,29523,31267,25749,32557,26108
2004,36969,39093,33706,31097,42825,42242,38082,36366,41515,36309,31982,34860,30435,27983,30154,31588,33496,35753,30586,37084,35173,31396,47098,30980,32092,26980,34336,27366
2005,38737,40645,35736,33136,44238,44061,40027,37720,43311,37202,33283,36173,31410,29970,32150,32419,34401,37619,32209,37812,37907,32256,49424,32125,32756,28751,36278,28744
2006,41454,43760,38009,35422,47366,47311,42164,40021,45293,39744,34574,37803,32878,33627,34460,33976,35718,39869,34189,39362,39437,33860,53224,34488,33563,31107,38315,30433
2007,43070,47020,39184,36879,50133,49662,44020,42148,47033,42524,35440,40008,33963,36208,35602,35371,38184,41760,35960,41325,39870,35228,57112,35624,34669,32924,40301,31780
2008,43391,47909,39185,39841,51606,51546,45383,43238,49026,44098,35272,41467,34954,38328,35586,36654,40291,42961,37772,42983,38640,37124,60543,36856,35826,33784,41887,33552
2009,41660,46936,36777,37234,49828,50751,44091,41088,48448,41679,34213,40446,34427,36803,33467,35593,39422,40258,35921,40963,36125,36306,59586,35286,34247,31796,41144,32901
2010,43138,48579,38778,38910,50962,52708,45443,42107,49617,42327,34741,42098,35809,38067,33774,36580,41086,40827,35847,42539,37288,36984,61392,35941,35635,32038,41499,33658
2011,45509,50775,40433,41937,52862,54764,47564,44074,51803,44281,36761,44120,37698,38966,35244,38928,45611,43732,36816,45137,38589,38402,62964,37531,37689,34022,42765,35069
2012,47794,52628,41204,43863,54247,56269,49052,45932,52490,47057,37251,45638,39082,40662,36333,40280,46391,45490,38867,47404,39671,39983,63555,39128,39043,35633,43531,35695
2013,48076,52875,40733,44396,54380,56130,48198,46731,51880,47454,37486,45904,39102,40997,36877,40754,45918,47082,38062,47419,39319,40121,61999,39462,39293,36116,43553,34858
2014,50619,54495,42865,46739,56383,58141,49764,48531,53084,50265,39551,47469,40230,42533,38220,42278,48195,50244,39866,49365,41112,41380,64482,41653,40830,37638,45448,36880
2015,53817,56603,44945,46760,58425,61548,51620,50682,55041,52415,41529,49293,41942,42484,39836,43801,49716,51394,41617,51362,43783,42677,66220,44166,42984,39899,47150,37753
2016,55863,58392,45720,45862,59793,63487,52659,51340,56614,54302,42744,50574,42943,42132,41122,44576,48695,51306,42582,51990,44700,43826,67550,45467,44081,41312,48555,38475
2017,58214,62196,48439,48518,61716,66076,54380,53049,58251,56805,44838,51888,44411,43486,43208,46116,49538,54171,44207,53832,46977,44781,69146,47565,45264,43044,50499,39197
2018,60984,64218,51009,51341,64206,69195,56133,56072,59919,59827,46626,54468,46452,45464,45260,47822,51439,57794,46040,56205,49278,46680,72157,50209,47088,45473,51546,40977
2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
