State,California,New York,Florida,Texas,New Jersey,Massachusetts,Virginia,Illinois,Maryland,Washington,Georgia,Pennsylvania,Tennessee,Louisiana,Arizona,Ohio,Nebraska,Colorado,North Carolina,Minnesota,Nevada,Missouri,Connecticut,Oregon,Michigan,Utah,Hawaii,New Mexico
2001,Gray Davis (Democrat),George Pataki (Republican),Jeb Bush (Republican),Rick Perry (Republican),"Donald DiFrancesco (Republican, Acting Governor)","Jane Swift (Republican, Acting Governor)",NA,George Ryan (Republican),Parris Glendening (Democrat),Gary Locke (Democrat),Roy Barnes (Democrat),Tom Ridge (Republican),Don Sundquist (Republican),Mike Foster (Republican),Jane Dee Hull (Republican),Bob Taft (Republican),Mike Johanns (Republican),Bill Owens (Republican),Mike Easley (Democrat),Jesse Ventura (Independence Party),Kenny Guinn (Republican),Bob Holden (Democrat),John G. Rowland (Republican),"John Kitzhaber (Democrat, end of his second term)",John Engler (Republican,Mike Leavitt (Republican),Ben Cayetano (Democra,Gary Johnson (Republican
2002,Gray Davis (Democrat),George Pataki (Republican),Jeb Bush (Republican),Rick Perry (Republican),"Donald DiFrancesco (Republican, Acting Governor)","Jane Swift (Republican, Acting Governor)",Mark Warner (Democrat),George Ryan (Republican),Parris Glendening (Democrat),Gary Locke (Democrat),Roy Barnes (Democrat),Tom Ridge (Republican),Don Sundquist (Republican),Mike Foster (Republican),Jane Dee Hull (Republican),Bob Taft (Republican),Mike Johanns (Republican),Bill Owens (Republican),Mike Easley (Democrat),Jesse Ventura (Independence Party),Kenny Guinn (Republican),Bob Holden (Democrat),John G. Rowland (Republican),"John Kitzhaber (Democrat, end of his second term)",John Engler (Republican,Mike Leavitt (Republican),Ben Cayetano (Democra,Gary Johnson (Republican
2003,Gray Davis (Democrat),George Pataki (Republican),Jeb Bush (Republican),Rick Perry (Republican),James McGreevey (Democrat),"Jane Swift (Republican, Acting Governor)",Mark Warner (Democrat),George Ryan (Republican),Parris Glendening (Democrat),Gary Locke (Democrat),Roy Barnes (Democrat),Tom Ridge (Republican),Don Sundquist (Republican),Mike Foster (Republican),Jane Dee Hull (Republican),Bob Taft (Republican),Mike Johanns (Republican),Bill Owens (Republican),Mike Easley (Democrat),Jesse Ventura (Independence Party),Kenny Guinn (Republican),Bob Holden (Democrat),John G. Rowland (Republican),"John Kitzhaber (Democrat, end of his second term)",John Engler (Republican,Mike Leavitt (Republican),Linda Lingle (Republican),Gary Johnson (Republican
2004,Arnold Schwarzenegger (Republican),George Pataki (Republican),Jeb Bush (Republican),Rick Perry (Republican),James McGreevey (Democrat),Mitt Romney (Republican),Mark Warner (Democrat),Rod Blagojevich (Democrat),Robert Ehrlich (Republican),Gary Locke (Democrat),Sonny Perdue (Republican),Ed Rendell (Democrat),Phil Bredesen (Democrat),Mike Foster (Republican),Janet Napolitano (Democrat),Bob Taft (Republican),Mike Johanns (Republican),Bill Owens (Republican),Mike Easley (Democrat),Tim Pawlenty (Republican),Kenny Guinn (Republican),Bob Holden (Democrat),John G. Rowland (Republican),Ted Kulongoski (Democrat),Jennifer Granholm (Democrat),Mike Leavitt (Republican),Linda Lingle (Republican),Bill Richardson (Democrat)
2005,Arnold Schwarzenegger (Republican),George Pataki (Republican),Jeb Bush (Republican),Rick Perry (Republican),"Richard Codey (Democrat, Acting Governor)",Mitt Romney (Republican),Mark Warner (Democrat),Rod Blagojevich (Democrat),Robert Ehrlich (Republican),Gary Locke (Democrat),Sonny Perdue (Republican),Ed Rendell (Democrat),Phil Bredesen (Democrat),Kathleen Blanco (Democrat),Janet Napolitano (Democrat),Bob Taft (Republican),Mike Johanns (Republican),Bill Owens (Republican),Mike Easley (Democrat),Tim Pawlenty (Republican),Kenny Guinn (Republican),Bob Holden (Democrat),M. Jodi Rell (Republican),Ted Kulongoski (Democrat),Jennifer Granholm (Democrat),Olene Walker (Republican),Linda Lingle (Republican),Bill Richardson (Democrat)
2006,Arnold Schwarzenegger (Republican),George Pataki (Republican),Jeb Bush (Republican),Rick Perry (Republican),"Richard Codey (Democrat, Acting Governor)",Mitt Romney (Republican),Mark Warner (Democrat),Rod Blagojevich (Democrat),Robert Ehrlich (Republican),Christine Gregoire (Democrat),Sonny Perdue (Republican),Ed Rendell (Democrat),Phil Bredesen (Democrat),Kathleen Blanco (Democrat),Janet Napolitano (Democrat),Bob Taft (Republican),Dave Heineman (Republican),Bill Owens (Republican),Mike Easley (Democrat),Tim Pawlenty (Republican),Kenny Guinn (Republican),Matt Blunt (Republican),M. Jodi Rell (Republican),Ted Kulongoski (Democrat),Jennifer Granholm (Democrat),Olene Walker (Republican),Linda Lingle (Republican),Bill Richardson (Democrat)
2007,Arnold Schwarzenegger (Republican),Eliot Spitzer (Democrat),"Charlie Crist (Initially Republican, became Independent in 2010)",Rick Perry (Republican),Jon Corzine (Democrat),Mitt Romney (Republican),Tim Kaine (Democrat),Rod Blagojevich (Democrat),Robert Ehrlich (Republican),Christine Gregoire (Democrat),Sonny Perdue (Republican),Ed Rendell (Democrat),Phil Bredesen (Democrat),Kathleen Blanco (Democrat),Janet Napolitano (Democrat),Bob Taft (Republican),Dave Heineman (Republican),Bill Owens (Republican),Mike Easley (Democrat),Tim Pawlenty (Republican),Kenny Guinn (Republican),Matt Blunt (Republican),M. Jodi Rell (Republican),Ted Kulongoski (Democrat),Jennifer Granholm (Democrat),Jon Huntsman Jr. (Republican),Linda Lingle (Republican),Bill Richardson (Democrat)
2008,Arnold Schwarzenegger (Republican),David Paterson (Democrat),"Charlie Crist (Initially Republican, became Independent in 2010)",Rick Perry (Republican),Jon Corzine (Democrat),Deval Patrick (Democrat),Tim Kaine (Democrat),Rod Blagojevich (Democrat),Martin O'Malley (Democrat),Christine Gregoire (Democrat),Sonny Perdue (Republican),Ed Rendell (Democrat),Phil Bredesen (Democrat),Kathleen Blanco (Democrat),Janet Napolitano (Democrat),Ted Strickland (Democrat),Dave Heineman (Republican),Bill Ritter (Democrat),Mike Easley (Democrat),Tim Pawlenty (Republican),Jim Gibbons (Republican),Matt Blunt (Republican),M. Jodi Rell (Republican),Ted Kulongoski (Democrat),Jennifer Granholm (Democrat),Jon Huntsman Jr. (Republican),Linda Lingle (Republican),Bill Richardson (Democrat)
2009,Arnold Schwarzenegger (Republican),David Paterson (Democrat),"Charlie Crist (Initially Republican, became Independent in 2010)",Rick Perry (Republican),Jon Corzine (Democrat),Deval Patrick (Democrat),Tim Kaine (Democrat),Rod Blagojevich (Democrat),Martin O'Malley (Democrat),Christine Gregoire (Democrat),Sonny Perdue (Republican),Ed Rendell (Democrat),Phil Bredesen (Democrat),Bobby Jindal (Republican),Janet Napolitano (Democrat),Ted Strickland (Democrat),Dave Heineman (Republican),Bill Ritter (Democrat),Mike Easley (Democrat),Tim Pawlenty (Republican),Jim Gibbons (Republican),Matt Blunt (Republican),M. Jodi Rell (Republican),Ted Kulongoski (Democrat),Jennifer Granholm (Democrat),Jon Huntsman Jr. (Republican),Linda Lingle (Republican),Bill Richardson (Democrat)
2010,Arnold Schwarzenegger (Republican),David Paterson (Democrat),"Charlie Crist (Initially Republican, became Independent in 2010)",Rick Perry (Republican),Jon Corzine (Democrat),Deval Patrick (Democrat),Tim Kaine (Democrat),Pat Quinn (Democrat),Martin O'Malley (Democrat),Christine Gregoire (Democrat),Sonny Perdue (Republican),Ed Rendell (Democrat),Phil Bredesen (Democrat),Bobby Jindal (Republican),Jan Brewer (Republican),Ted Strickland (Democrat),Dave Heineman (Republican),Bill Ritter (Democrat),Beverly Perdue (Democrat),Tim Pawlenty (Republican),Jim Gibbons (Republican),Jay Nixon (Democrat),M. Jodi Rell (Republican),Ted Kulongoski (Democrat),Jennifer Granholm (Democrat),Gary Herbert (Republican),Linda Lingle (Republican),Bill Richardson (Democrat)
2011,Jerry Brown (Democrat),Andrew Cuomo (Democrat),Rick Scott (Republican),Rick Perry (Republican),Chris Christie (Republican),Deval Patrick (Democrat),Bob McDonnell (Republican),Pat Quinn (Democrat),Martin O'Malley (Democrat),Christine Gregoire (Democrat),Sonny Perdue (Republican),Ed Rendell (Democrat),Phil Bredesen (Democrat),Bobby Jindal (Republican),Jan Brewer (Republican),Ted Strickland (Democrat),Dave Heineman (Republican),Bill Ritter (Democrat),Beverly Perdue (Democrat),Tim Pawlenty (Republican),Jim Gibbons (Republican),Jay Nixon (Democrat),M. Jodi Rell (Republican),Ted Kulongoski (Democrat),Jennifer Granholm (Democrat),Gary Herbert (Republican),Neil Abercrombie (Democrat),Bill Richardson (Democrat)
