State,All,Never Detained,Detained,Released,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All,"38,069","21,984","4,293","11,790",147,186,211,169,875,"1,977",779,415,274,232,236,229,234,281,291,317,627,755,"3,956","4,358","2,304","15,088","4,128"
California,"4,610","4,610",392,"1,966",42,52,69,46,388,126,85,90,62,61,64,61,67,58,54,65,104,131,584,755,286,2916,803
New York,"6,969","1,065",120,531,3,2,2,3,4,7,9,4,3,4,4,2,5,8,12,14,25,29,130,112,58,510,117
Florida,"11,012","7,424",455,"3,132",46,76,93,70,431,"1,714",496,231,101,74,85,87,60,62,70,62,178,197,915,"1,058",499,"3,495",912
Texas,"5,277","1,733","1,542","2,002",22,23,18,20,19,40,53,23,36,19,0,19,32,50,55,46,63,98,480,637,472,"2,512",532
New Jersey,690,382,35,273,3,3,0,4,3,10,15,8,3,3,15,12,7,8,4,17,20,21,66,72,32,314,55
Massachussets,200,106,11,83,NA,2,NA,NA,NA,2,1,1,2,3,2,NA,2,NA,NA,1,4,4,22,32,8,93,21
Virginia,527,322,26,179,2,1,5,1,2,1,45,5,4,5,5,1,3,5,8,4,22,19,77,66,21,161,60
Illinois,"2,753","1,717",56,980,NA,NA,NA,NA,NA,NA,9,6,NA,NA,NA,NA,NA,10,7,17,30,60,313,504,254,1205,313
Maryland,615,315,53,247,4,NA,2,1,NA,8,8,2,2,5,3,2,6,11,5,11,24,21,87,60,33,230,89
Washignton,478,324,82,72,1,2,2,NA,3,13,6,1,3,3,2,1,1,6,2,16,8,5,48,38,13,252,67
Georgia,920,373,295,252,NA,3,0,NA,NA,6,12,0,4,NA,6,0,4,2,9,10,13,18,189,100,53,334,154
Pennsylvania,248,148,2,98,1,1,NA,2,NA,NA,2,4,1,1,2,1,1,1,4,1,3,5,16,23,30,120,29
Tennessee,383,248,383,135,NA,1,NA,NA,NA,6,4,NA,6,3,NA,NA,6,1,3,1,15,7,44,45,20,160,61
Louisiana,"1,472",588,437,447,3,4,0,NA,5,4,8,6,4,6,0,5,9,9,17,6,33,37,204,133,139,613,225
Arizona,487,136,270,81,10,4,6,5,9,5,11,12,19,14,13,3,3,4,3,2,7,15,124,48,26,109,35
Ohio,448,257,33,158,NA,NA,NA,2,NA,1,2,2,3,NA,3,4,1,1,4,7,9,11,38,67,10,213,70
Nebraska,225,145,16,64,1,NA,NA,3,NA,9,1,1,2,4,6,3,6,2,1,4,3,4,17,19,16,82,41
Colorado,740,474,39,227,0,2,NA,0,4,0,0,0,6,2,0,0,NA,5,3,NA,8,19,94,131,46,336,76
North Carolina,595,375,NA,220,NA,NA,NA,NA,1,1,NA,NA,2,4,1,1,3,1,2,6,8,6,40,109,42,270,98
Minnesota,640,347,66,227,NA,1,2,2,NA,1,4,1,1,2,NA,4,NA,6,6,10,5,5,104,105,28,270,83
Nevada,501,366,21,114,2,1,4,3,2,11,2,5,1,3,3,3,1,3,2,5,10,4,25,53,22,243,93
Missouri,193,115,9,69,NA,1,1,NA,NA,3,NA,NA,2,1,4,2,1,1,7,3,5,3,16,20,13,71,39
Connecticut,234,131,3,100,1,1,NA,1,NA,NA,NA,1,3,1,1,3,2,3,1,6,2,7,22,31,22,101,25
Oregon,95,52,NA,43,NA,NA,NA,1,NA,2,1,1,2,1,NA,3,NA,2,1,NA,1,1,7,10,NA,38,24
Michigan,232,159,19,54,NA,2,1,1,NA,1,2,4,NA,NA,NA,1,1,1,NA,3,NA,NA,23,28,13,122,29
Utah,102,68,4,30,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,1,1,NA,1,NA,2,9,3,6,46,27
Hawaii,5,1,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA, NA,NA,NA,NA,NA,1
New Mexico,291,1,289,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,NA,NA,NA,3,4,118,24,83,45,7
Puerto Rico,21,2,18,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,NA,9,1
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Known,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
