State,All,Asylum Granted,Asylum Relief Denied,Other Relief Granted,2001 Denied,2001,2002 Denied,2002,2003 Denied,2003,2004 Denied,2004,2005 Denied,2005,2006 Denied,2006,2007 Denied,2007,2008 Denied,2008,2009 Denied,2009,2010 Denied,2010,2011 Denied,2011,2012 Denied,2012,2013 Denied,2013,2014 Denied,2014,2015 Denied,2015,2016 Denied,2016,2017 Denied,2017,2018 Denied,2018,2019 Denied,2019,2020 Denied,2020,2021 Denied,2021,2022 Denied,2022,2023 Denied,2023
All,"9,516","3,382","5,868",266,73,9,67,0,96,7,93,7,76,17,118,15,166,23,136,23,142,19,109,15,102,21,85,14,93,27,81,18,64,21,55,24,98,28,160,42,688,381,659,419,257,230,"1,355",946,"1,095","1,072"
California,"1,929",962,931,36,10,0,16,0,32,4,26,2,14,2,27,11,31,6,21,5,36,4,25,4,26,5,21,9,25,7,13,10,16,13,8,6,23,6,27,14,69,59,68,110,32,59,163,308,202,316
New York,308,215,159,6,2,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,1,1,2,1,2,,2,,NA,NA,1,1,2,3,1,1,1,1,1,3,6,1,22,22,31,23,7,3,40,58,36,91
Florida,"1,731",402,1306,23,21,2,24,1,35,2,46,3,40,8,55,2,69,7,76,6,53,10,45,1,38,7,34,2,30,6,22,3,13,3,9,7,25,8,60,8,93,31,128,59,26,20,175,125,181,81
Texas,"2,146",475,"1,558",113,18,2,11,1,13,1,9,1,7,3,15,NA,32,2,11,6,20,2,12,3,10,3,8,1,13,1,17,1,13,1,12,1,20,3,14,2,135,66,179,60,94,49,574,178,320,88
New Jersey,142,54,83,5,1,NA,1,NA,1,NA,2,1,NA,NA,8,NA,5,4,3,NA,1,NA,NA,NA,1,NA,5,NA,2,NA,4,NA,NA,NA,1,NA,4,NA,2,2,6,7,11,5,1,1,20,15,4,19
Massachussets,26,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,3,NA,4
Virginia,88,58,28,2,NA,1,NA,NA,2,NA,2,NA,1,NA,1,NA,5,NA,2,1,NA,NA,NA,NA,NA,2,2,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,6,2,5,2,,NA,7,3,27
Illinois,394,272,113,9,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,1,4,NA,12,34,28,28,6,31,9,61,40,117
Maryland,197,151,44,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,2,NA,NA,NA,2,6,1,2,2,5,2,11,2,21,2,8,9,15,15,81
Washignton,180,69,109,2,1,NA,NA,NA,2,NA,NA,NA,2,NA,2, NA,4,NA,4,1,1,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,2,1,1,NA,4,1,1,1,17,11,7,9,1,NA,41,18,14,27
Georgia,372,51,314,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,1,NA,NA,NA,1,NA,3,,4,,NA,NA,3,NA,5,NA,8,NA,5,NA,110,8,41,13,9,3,55,12,68,15
Pennsylvania,29,18,11,0,1,,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,2,1,NA,9,2,5
Tennessee,72,42,26,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,,NA,NA,NA,NA,NA,NA,2,5,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,1,1,2,4,1,4,4,11,26
Louisiana,535,129,400,6,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,6,NA,5,NA,5,NA,4,NA,4,1,1,NA,1,NA,2,NA,4,NA,3,NA,1,NA,9,NA,62,NA,56,1,24,NA,153,2,57,2
Arizona,319,98,204,17,6,2,3,1,5,NA,4,NA,6,1,4,1,7,1,7,NA,12,NA,5,1,10,NA,2,NA,3,NA,5,NA,1,NA,1,1,NA,NA,6,2,48,41,34,17,7,4,9,17,19,7
Ohio,53,19,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,2,NA,2,NA,3,NA,5,NA,3,4,2,2,NA,4,9,7
Nebraska,38,4,33,1,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,2,1,1,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,3,NA,2,NA,12,2
Colorado,165,83,77,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,14,7,19,18,1,2,21,29,5,27
North Carolina,46,8,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,3,NA,1,1,3,NA,4,NA,3,NA,5,4,5,2,9,1
Minnesota,170,51,115,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,1,NA,1,NA,NA,NA,1,NA,3,NA,1,1,NA,NA,NA,NA,19,14,21,7,NA,1,12,10,49,18
Nevada,2,55,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,9,NA,42
Missouri,26,5,21, NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,1,NA,2,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,5,1,2,NA,1,NA,1,NA,5,1
Connecticut,43,28,15,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,1,2,2,4,NA,6,1,13
Oregon,25,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,NA,NA,3,NA,1,6,6
Michigan,53,21,31,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,4,2,4,NA,NA,1,14,13,3,5
Utah,14,9,5,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,1,NA,NA,2,NA,1,NA,4
Hawaii,7,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,241,69,152,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,45,37,12,1,30,17,48,14,7,NA
Puerto Rico,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Known,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
