State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All,73,67,96,93,76,118,166,136,142,109,102,85,93,81,64,55,98,160,688,659,257,"1,355","1,095"
California,10,16,32,26,14,27,31,21,36,25,26,21,25,13,16,8,23,27,69,68,32,163,202
New York,2,NA,NA,1,NA,NA,1,1,2,2,2,NA,1,2,1,1,1,6,22,31,7,40,36
Florida,21,24,35,46,40,55,69,76,53,45,38,34,30,22,13,9,25,60,93,128,26,175,181
Texas,18,11,13,9,7,15,32,11,20,12,10,8,13,17,13,12,20,14,135,179,94,574,320
New Jersey,1,1,1,2,NA,8,5,3,1,NA,1,5,2,4,NA,1,4,2,6,11,1,20,4
Massachussets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,NA,NA,2,2,1,1,5,2,NA,NA,NA,2,1,1,NA,NA,NA,1,3,2,2,NA,3
Illinois,1,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,3,4,12,28,6,9,40
Maryland,NA,3,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,2,NA,2,1,2,2,2,2,9,15
Washignton,1,NA,2,NA,2,2,4,4,1,NA,NA,2,1,2,2,1,4,1,17,7,1,41,14
Georgia,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,3,4,NA,3,5,8,5,110,41,9,55,68
Pennsylvania,1,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,2
Tennessee,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,2,1,1,4,4,11
Louisiana,NA,NA,1,NA,1,1,6,5,5,4,4,1,1,2,4,3,1,9,62,56,24,153,57
Arizona,6,3,5,4,6,4,7,7,12,5,10,2,3,5,1,1,NA,6,48,34,7,9,19
Ohio,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,1,NA,1,2,2,3,5,3,2,NA,9
Nebraska,1,3,1,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,1,NA,NA,1,1,1,3,2,12
Colorado,NA,NA,NA,NA,3,2,1,NA,2,2,2,NA,1,NA,2,1,NA,1,14,19,1,21,5
North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,3,1,3,4,3,5,5,9
Minnesota,NA,1,NA,1,NA,NA,2,NA,1,2,1,1,NA,1,3,1,NA,NA,19,21,NA,12,49
Nevada,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Missouri,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,1,1,NA,1,5,2,1,1,5
Connecticut,1,1,NA,1,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,NA,NA,3,NA,1,2,NA,1
Oregon,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,2,1,NA,NA,6
Michigan,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,4,4,NA,14,3
Utah,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA
Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,3,2,45,12,30,48,7
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not Known,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
