State,California,New York,Florida,Texas,New Jersey,Massachusetts,Virginia,Illinois,Maryland,Washington,Georgia,Pennsylvania,Tennessee,Louisiana,Arizona,Ohio,Nebraska,Colorado,North Carolina,Minnesota,Nevada,Missouri,Connecticut,Oregon,Michigan,Utah,Hawaii,New Mexico
2001,10,2,21,18,1,NA,NA,1,NA,1,NA,1,NA,NA,6,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2002,16,NA,24,11,1,NA,NA,2,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA
2003,32,NA,35,13,1,NA,2,NA,NA,2,NA,1,1,1,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,26,1,46,9,2,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA
2005,14,NA,40,7,NA,NA,1,1,NA,2,NA,1,NA,1,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,27,NA,55,15,8,NA,1,NA,NA,2,NA,NA,NA,1,4,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2007,31,1,69,32,5,NA,5,1,NA,4,1,NA,NA,6,7,1,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA
2008,21,1,76,11,3,NA,2,NA,2,4,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2009,36,2,53,20,1,NA,NA,NA,NA,1,1,2,3,5,12,NA,NA,2,NA,1,NA,1,2,NA,NA,NA,NA,NA
2010,25,2,45,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,2,2,1,2,NA,1,1,NA,1,NA,NA,3
2011,26,2,38,10,1,NA,NA,NA,1,NA,1,NA,NA,4,10,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
2012,21,NA,34,8,5,NA,2,NA,NA,2,3,NA,NA,1,2,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1
2013,25,1,30,13,2,NA,1,NA,1,1,4,NA,2,1,3,1,2,1,1,NA,NA,2,1,NA,NA,NA,NA,1
2014,13,2,22,17,4,NA,1,4,2,2,NA,NA,NA,2,5,NA,2,NA,1,1,NA,NA,NA,1,NA,1,NA,NA
2015,16,1,13,13,NA,NA,NA,NA,NA,2,3,NA,1,4,1,1,1,2,NA,3,NA,1,NA,NA,1,NA,NA,NA
2016,8,1,9,12,1,NA,NA,NA,2,1,5,NA,NA,3,1,2,NA,1,3,1,NA,1,NA,NA,1,1,NA,NA
2017,23,1,25,20,4,NA,NA,3,1,4,8,NA,NA,1,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,3
2018,27,6,60,14,2,NA,1,4,2,1,5,NA,2,9,6,3,1,1,3,NA,NA,1,3,1,NA,NA,NA,2
2019,69,22,93,135,6,NA,3,12,2,17,110,1,1,62,48,5,1,14,4,19,NA,5,NA,2,4,1,NA,45
2020,68,31,128,179,11,NA,2,28,2,7,41,1,1,56,34,3,1,19,3,21,NA,2,1,1,4,1,NA,12
