State,California,New York,Florida,Texas,New Jersey,Massachusetts,Virginia,Illinois,Maryland,Washington,Georgia,Pennsylvania,Tennessee,Louisiana,Arizona,Ohio,Nebraska,Colorado,North Carolina,Minnesota,Nevada,Missouri,Connecticut,Oregon,Michigan,Utah,Hawaii,New Mexico
2001,42,3,46,22,3,NA,2,NA,4,1,NA,1,NA,3,10,NA,1,0,NA,NA,2,NA,1,NA,NA,NA,NA,NA
2002,52,2,76,23,3,2,1,NA,NA,2,3,1,1,4,4,NA,NA,2,NA,1,1,1,1,NA,2,NA,NA,NA
2003,69,2,93,18,0,NA,5,NA,2,2,0,NA,NA,0,6,NA,NA,NA,NA,2,4,1,NA,NA,1,NA,NA,NA
2004,46,3,70,20,4,NA,1,NA,1,NA,NA,2,NA,NA,5,2,3,0,NA,2,3,NA,1,1,1,NA,NA,NA
2005,388,4,431,19,3,NA,2,NA,NA,3,NA,NA,NA,5,9,NA,NA,4,1,NA,2,NA,NA,NA,NA,NA,NA,NA
2006,126,7,"1,714",40,10,2,1,NA,8,13,6,NA,6,4,5,1,9,0,1,1,11,3,NA,2,1,NA,NA,NA
2007,85,9,496,53,15,1,45,9,8,6,12,2,4,8,11,2,1,0,NA,4,2,NA,NA,1,2,NA,3,NA
2008,90,4,231,23,8,1,5,6,2,1,0,4,NA,6,12,2,1,0,NA,1,5,NA,1,1,4,2,NA,NA
2009,62,3,101,36,3,2,4,NA,2,3,4,1,6,4,19,3,2,6,2,1,1,2,3,2,NA,NA,NA,1
2010,61,4,74,19,3,3,5,NA,5,3,NA,1,3,6,14,NA,4,2,4,2,3,1,1,1,NA,4,NA,3
2011,64,4,85,0,15,2,5,NA,3,2,6,2,NA,0,13,3,6,0,1,NA,3,4,1,NA,NA,NA,NA,1
2012,61,2,87,19,12,NA,1,NA,2,1,0,1,NA,5,3,4,3,0,1,4,3,2,3,3,1,NA,NA,1
2013,67,5,60,32,7,2,3,NA,6,1,4,1,6,9,3,1,6,NA,3,NA,1,1,2,NA,1,1,NA,1
2014,58,8,62,50,8,NA,5,10,11,6,2,1,1,9,4,1,2,5,1,6,3,1,3,2,1,1,NA,NA
2015,54,12,70,55,4,NA,8,7,5,2,9,4,3,17,3,4,1,3,2,6,2,7,1,1,NA,NA,NA,NA
2016,65,14,62,46,17,1,4,17,11,16,10,1,1,6,2,7,4,NA,6,10,5,3,6,NA,3,1,1,NA
2017,104,25,178,63,20,4,22,30,24,8,13,3,15,33,7,9,3,8,8,5,10,5,2,1,NA,NA,NA,3
2018,131,29,197,98,21,4,19,60,21,5,18,5,7,37,15,11,4,19,6,5,4,3,7,1,NA,2,NA,4
2019,584,130,915,480,66,22,77,313,87,48,189,16,44,204,124,38,17,94,40,104,25,16,22,7,23,9,NA,118
2020,755,112,"1,058",637,72,32,66,504,60,38,100,23,45,133,48,67,19,131,109,105,53,20,31,10,28,3,NA,24
