State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
California,Gray Davis (Democrat),Gray Davis (Democrat),Gray Davis (Democrat),Arnold Schwarzenegger (Republican),Arnold Schwarzenegger (Republican),Arnold Schwarzenegger (Republican),Arnold Schwarzenegger (Republican),Arnold Schwarzenegger (Republican),Arnold Schwarzenegger (Republican),Arnold Schwarzenegger (Republican),Jerry Brown (Democrat),Jerry Brown (Democrat),Jerry Brown (Democrat),Jerry Brown (Democrat),Jerry Brown (Democrat),Jerry Brown (Democrat),Jerry Brown (Democrat),Jerry Brown (Democrat),Gavin Newsom (Democrat),Gavin Newsom (Democrat),Gavin Newsom (Democrat),Gavin Newsom (Democrat),Gavin Newsom (Democrat),,
New York,George Pataki (Republican),George Pataki (Republican),George Pataki (Republican),George Pataki (Republican),George Pataki (Republican),George Pataki (Republican),Eliot Spitzer (Democrat),David Paterson (Democrat),David Paterson (Democrat),David Paterson (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Andrew Cuomo (Democrat),Kathy Hochul (Democrat),Kathy Hochul (Democrat),,
Florida,Jeb Bush (Republican),Jeb Bush (Republican),Jeb Bush (Republican),Jeb Bush (Republican),Jeb Bush (Republican),Jeb Bush (Republican),"Charlie Crist (Initially Republican, became Independent in 2010)","Charlie Crist (Initially Republican, became Independent in 2010)","Charlie Crist (Initially Republican, became Independent in 2010)","Charlie Crist (Initially Republican, became Independent in 2010)",Rick Scott (Republican),Rick Scott (Republican),Rick Scott (Republican),Rick Scott (Republican),Rick Scott (Republican),Rick Scott (Republican),Rick Scott (Republican),Rick Scott (Republican),Rick Scott (Republican),Ron DeSantis (Republican),Ron DeSantis (Republican),Ron DeSantis (Republican),Ron DeSantis (Republican),,
Texas,Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Rick Perry (Republican),Greg Abbott (Republican),Greg Abbott (Republican),Greg Abbott (Republican),Greg Abbott (Republican),Greg Abbott (Republican),Greg Abbott (Republican),Greg Abbott (Republican),Greg Abbott (Republican),Greg Abbott (Republican),Greg Abbott (Republican),,
New Jersey,"Donald DiFrancesco (Republican, Acting Governor)","Donald DiFrancesco (Republican, Acting Governor)",James McGreevey (Democrat),James McGreevey (Democrat),"Richard Codey (Democrat, Acting Governor)","Richard Codey (Democrat, Acting Governor)",Jon Corzine (Democrat),Jon Corzine (Democrat),Jon Corzine (Democrat),Jon Corzine (Democrat),Chris Christie (Republican),Chris Christie (Republican),Chris Christie (Republican),Chris Christie (Republican),Chris Christie (Republican),Chris Christie (Republican),Chris Christie (Republican),Chris Christie (Republican),Phil Murphy (Democrat),Phil Murphy (Democrat),Phil Murphy (Democrat),Phil Murphy (Democrat),Phil Murphy (Democrat),,
Massachussets,"Jane Swift (Republican, Acting Governor)","Jane Swift (Republican, Acting Governor)","Jane Swift (Republican, Acting Governor)",Mitt Romney (Republican),Mitt Romney (Republican),Mitt Romney (Republican),Mitt Romney (Republican),Deval Patrick (Democrat),Deval Patrick (Democrat),Deval Patrick (Democrat),Deval Patrick (Democrat),Deval Patrick (Democrat),Deval Patrick (Democrat),Deval Patrick (Democrat),Deval Patrick (Democrat),Charlie Baker (Republican),Charlie Baker (Republican),Charlie Baker (Republican),Charlie Baker (Republican),Charlie Baker (Republican),Charlie Baker (Republican),Charlie Baker (Republican),Charlie Baker (Republican),,
Virginia,NA,Mark Warner (Democrat),Mark Warner (Democrat),Mark Warner (Democrat),Mark Warner (Democrat),Mark Warner (Democrat),Tim Kaine (Democrat),Tim Kaine (Democrat),Tim Kaine (Democrat),Tim Kaine (Democrat),Bob McDonnell (Republican),Bob McDonnell (Republican),Bob McDonnell (Republican),Bob McDonnell (Republican),Terry McAuliffe (Democrat),Terry McAuliffe (Democrat),Terry McAuliffe (Democrat),Terry McAuliffe (Democrat),Ralph Northam (Democrat),Ralph Northam (Democrat),Ralph Northam (Democrat),Ralph Northam (Democrat),Glenn Youngkin (Republican),,
Illinois,George Ryan (Republican),George Ryan (Republican),George Ryan (Republican),Rod Blagojevich (Democrat),Rod Blagojevich (Democrat),Rod Blagojevich (Democrat),Rod Blagojevich (Democrat),Rod Blagojevich (Democrat),Rod Blagojevich (Democrat),Pat Quinn (Democrat),Pat Quinn (Democrat),Pat Quinn (Democrat),Pat Quinn (Democrat),Pat Quinn (Democrat),Pat Quinn (Democrat),Bruce Rauner (Republican),Bruce Rauner (Republican),Bruce Rauner (Republican),Bruce Rauner (Republican),J.B. Pritzker (Democrat),J.B. Pritzker (Democrat),J.B. Pritzker (Democrat),J.B. Pritzker (Democrat),,
Maryland,Parris Glendening (Democrat),Parris Glendening (Democrat),Parris Glendening (Democrat),Robert Ehrlich (Republican),Robert Ehrlich (Republican),Robert Ehrlich (Republican),Robert Ehrlich (Republican),Martin O'Malley (Democrat),Martin O'Malley (Democrat),Martin O'Malley (Democrat),Martin O'Malley (Democrat),Martin O'Malley (Democrat),Martin O'Malley (Democrat),Martin O'Malley (Democrat),Martin O'Malley (Democrat),Larry Hogan (Republican),Larry Hogan (Republican),Larry Hogan (Republican),Larry Hogan (Republican),Larry Hogan (Republican),Larry Hogan (Republican),Larry Hogan (Republican),Larry Hogan (Republican),,
Washignton,Gary Locke (Democrat),Gary Locke (Democrat),Gary Locke (Democrat),Gary Locke (Democrat),Gary Locke (Democrat),Christine Gregoire (Democrat),Christine Gregoire (Democrat),Christine Gregoire (Democrat),Christine Gregoire (Democrat),Christine Gregoire (Democrat),Christine Gregoire (Democrat),Christine Gregoire (Democrat),Christine Gregoire (Democrat),Jay Inslee (Democrat),Jay Inslee (Democrat),Jay Inslee (Democrat),Jay Inslee (Democrat),Jay Inslee (Democrat),Jay Inslee (Democrat),Jay Inslee (Democrat),Jay Inslee (Democrat),Jay Inslee (Democrat),Jay Inslee (Democrat),,
