State,California,New York,Florida,Texas,New Jersey,Massachusetts,Virginia,Illinois,Maryland,Washington,Georgia,Pennsylvania,Tennessee,Louisiana,Arizona,Ohio,Nebraska,Colorado,North Carolina,Minnesota,Nevada,Missouri,Connecticut,Oregon,Michigan,Utah,Hawaii,New Mexico
2001,"11,271,272","2,922,517","2,836,824","6,948,792","1,160,986","448,622","359,769","1,579,994","252,188","472,937","477,073","426,645","140,460","116,220","1,355,570","230,878","101,723","765,910","421,079","154,070","426,223","127,980","336,199","292,789","335,125","217,237","91,013","784,188"
2002,"11,575,989","2,977,451","2,990,933","7,227,917","1,204,782","468,514","389,997","1,629,725","276,459","504,365","518,919","459,202","157,082","124,702","1,415,523","244,633","109,021","796,218","463,194","164,757","458,476","137,368","352,076","310,264","346,373","232,915","94,328","802,989"
2003,"11,880,705","3,032,385","3,145,042","7,507,043","1,248,577","488,407","420,226","1,679,457","300,731","535,793","560,766","491,760","173,704","133,185","1,475,477","258,388","116,319","826,527","505,310","175,445","490,729","146,755","367,952","327,738","357,621","248,593","97,642","821,791"
2004,"12,185,421","3,087,319","3,299,151","7,786,168","1,292,372","508,299","450,454","1,729,188","325,002","567,221","602,612","524,317","190,326","141,667","1,535,430","272,143","123,617","856,835","547,426","186,132","522,982","156,143","383,829","345,213","368,869","264,271","100,956","840,593"
2005,"12,490,138","3,142,253","3,453,261","8,065,294","1,336,168","528,192","480,683","1,778,920","349,274","598,650","644,458","556,874","206,949","150,149","1,595,383","285,899","130,915","887,144","589,542","196,820","555,236","165,531","399,705","362,688","380,118","279,950","104,271","859,395"
2006,"12,794,854","3,197,186","3,607,370","8,344,419","1,379,963","548,084","510,911","1,828,652","373,546","630,078","686,304","589,431","223,571","158,631","1,655,336","299,654","138,213","917,453","631,657","207,508","587,489","174,919","415,581","380,163","391,366","295,628","107,585","878,196"
2007,"13,099,570","3,252,120","3,761,479","8,623,545","1,423,758","567,977","541,140","1,878,383","397,817","661,506","728,150","621,988","240,193","167,113","1,715,289","313,409","145,511","947,761","673,773","218,195","619,742","184,307","431,458","397,638","402,614","311,306","110,899","896,998"
2008,"13,404,286","3,307,054","3,915,588","8,902,670","1,467,553","587,869","571,368","1,928,115","422,089","692,934","769,997","654,546","256,815","175,596","1,775,243","327,164","152,809","978,070","715,889","228,883","651,995","193,694","447,334","415,112","413,862","326,984","114,213","915,800"
2009,"13,709,003","3,361,988","4,069,697","9,181,796","1,511,349","607,762","601,597","1,977,846","446,360","724,362","811,843","687,103","273,437","184,078","1,835,196","340,919","160,107","1,008,378","758,004","239,570","684,248","203,082","463,211","432,587","425,110","342,662","117,528","934,601"
2010,"14,013,719","3,416,922","4,223,806","9,460,921","1,555,144","627,654","631,825","2,027,578","470,632","755,790","853,689","719,660","290,059","192,560","1,895,149","354,674","167,405","1,038,687","800,120","250,258","716,501","212,470","479,087","450,062","436,358","358,340","120,842","953,403"
2011,"14,170,312","3,470,033","4,371,149","9,659,001","1,599,887","653,657","659,517","2,058,561","496,543","786,132","880,666","752,656","308,972","205,559","1,924,859","371,337","174,136","1,061,157","831,968","259,796","733,877","221,530","493,508","463,932","449,164","371,797","122,650","959,144"
2012,"14,326,906","3,523,144","4,518,493","9,857,080","1,644,630","679,660","687,210","2,089,544","522,455","816,475","907,643","785,651","327,885","218,558","1,954,570","388,001","180,867","1,083,628","863,815","269,334","751,252","230,590","507,928","477,801","461,971","385,254","124,458","964,885"
2013,"14,483,499","3,576,255","4,665,836","10,055,160","1,689,373","705,663","714,902","2,120,528","548,366","846,817","934,619","818,647","346,797","231,557","1,984,280","404,664","187,598","1,106,098","895,663","278,873","768,628","239,649","522,349","491,671","474,777","398,712","126,266","970,625"
2014,"14,640,092","3,629,366","4,813,180","10,253,239","1,734,116","731,666","742,595","2,151,511","574,277","877,159","961,596","851,642","365,710","244,556","2,013,991","421,328","194,329","1,128,568","927,510","288,411","786,003","248,709","536,769","505,540","487,584","412,169","128,074","976,366"
2015,"14,796,686","3,682,477","4,960,523","10,451,319","1,778,860","757,670","770,287","2,182,494","600,189","907,502","988,573","884,638","384,623","257,555","2,043,701","437,991","201,060","1,151,039","959,358","297,949","803,379","257,769","551,190","519,410","500,390","425,626","129,883","982,107"
